timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-13 12-59-00,1,0,1000,Cam1,50-0537011139,24.16107383,0.74,702.8397813846325,523.6135631427634,75.83755572510869,65.8022548041614,3304402,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,136.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-01,1,0,1000,Cam1,50-0537011139,24.16107383,0.74,702.4942933207172,523.0666138776348,75.66622320930693,64.81845585437588,3343448,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,136.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-01,1,0,1000,Cam1,50-0537011139,24.16107383,0.85,702.0327628279607,523.7445446036382,75.45621201741686,65.60961115258925,3272325,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,136.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-01,1,0,1000,Cam1,50-0537011139,24.16107383,0.85,702.1124032853497,523.3148031076005,75.58425747724425,65.04311957122778,3253807,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,138.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-01,1,0,1000,Cam1,50-0537011139,24.16107383,0.85,702.3709685943893,523.6306987895491,75.62442898207357,65.0559406082721,3285793,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,138.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-01,1,0,1000,Cam1,50-0537011139,24.16107383,1.34,702.4551096163027,523.1680831637624,75.65764210376938,65.00895995106526,3269063,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,138.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-02,1,0,1000,Cam1,50-0537011139,24.16107383,1.34,702.4650029738937,523.3928240971633,75.70974153815743,65.28642614771972,3303447,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,140.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-02,1,0,1000,Cam1,50-0537011139,24.16107383,1.34,702.2883831124392,522.8855655453618,75.56129593742872,64.95792642519258,3293481,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,140.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-02,1,0,1000,Cam1,50-0537011139,24.16107383,1.56,702.2089044576122,523.2653840522736,75.49455672108186,64.69616180929229,3258367,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,140.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
2024-08-13 12-59-02,1,0,1000,Cam1,50-0537011139,24.16107383,1.56,702.1263585103534,522.4405347995745,75.4300781242891,64.69367447328787,3209542,330.28938906752387,274.5209003215434,642.0578778135048,549.0418006430868,140.0,140.0,-0.8998,-1.7998,0.0001,0.0001,0.0001,-0.0004,0.0001,-0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0005
