timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-08 17-05-05,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,475.1655105175826,889.166664409318,19.3302835136368,27.538060554953155,449081,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.9,-3.9997,4.75,0.0,0.0
2024-08-08 17-05-18,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,484.12973740823304,889.6560831143169,12.877123101984079,25.584305579098423,423522,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.6995,-3.801,4.5499,0.0,0.0
2024-08-08 17-05-47,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,487.06415091446365,884.435616355842,15.653124179205335,26.765529899879247,475055,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.4999,-3.6007,4.35,0.0,0.0
2024-08-08 17-05-50,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,494.2156592373959,885.4121196716012,13.583172818383602,23.901318109200574,417624,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.4999,-3.7,4.35,0.0,0.0
2024-08-08 17-06-08,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,499.79783301113105,885.1465830308239,14.384170118932271,29.713670579607797,475217,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.3001,-3.4983,4.1502,0.0,0.0
2024-08-08 17-06-28,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,526.3389849212858,882.7293272925378,20.78118668073458,36.50989452077673,408739,439.7858086944368,797.7970055007788,109.12112804201945,127.18956421968994,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,4.1003,-3.5997,3.9498,0.0,0.0
2024-08-08 17-06-53,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,531.5891464344894,879.5613426052173,24.89555299670738,21.58247596622956,689037,455.6305670352209,815.5058530581256,162.44538925989866,150.0428190273525,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,3.8998,-3.3985,3.7491,0.0,0.0
2024-08-08 17-07-18,0,9,1000,Cam4,50-0536976126,0.009921875,0.04,546.7638780673283,877.9302722598277,30.662730764857635,26.622691211407087,692328,455.6305670352209,815.5058530581256,162.44538925989866,150.0428190273525,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,3.6997,-3.1988,3.5503,0.0,0.0
2024-08-08 17-07-38,0,12,1000,Cam4,50-0536976126,0.009921875,0.04,530.6912455398825,903.402850381737,31.59473365595782,22.675259713818143,936003,455.6305670352209,815.5058530581256,162.44538925989866,150.0428190273525,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,3.3973,-2.8998,3.247,0.0,0.0
2024-08-08 17-08-00,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,559.668719599315,891.5037871979541,37.136226057419876,38.65855794583426,1553359,492.63564221687534,787.2816431738128,162.44538925989866,150.0428190273525,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,3.0999,-2.6995,2.9508,0.0,0.0
2024-08-08 17-08-19,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,550.6908794523526,910.364729721838,32.582710453671595,74.99999999999622,1490051,492.63564221687534,787.2816431738128,162.44538925989866,150.0428190273525,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,2.8002,-2.5005,2.6507,0.0,0.0
2024-08-08 17-09-09,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,583.5823424434,875.51654475819,78.63116643245178,56.6701659415628,2315874,456.2577716993169,740.8684980307207,254.64447488198664,226.5617880470445,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,2.199,-2.1005,2.0487,0.0,0.0
2024-08-08 17-09-21,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,523.8129660904543,943.4691897391375,70.25429244431116,139.9999999999989,2701087,428.7351681962052,719.4620286394118,286.7541789689503,280.0779615253173,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,2.199,-1.9995,2.0487,0.0,0.0
2024-08-08 17-09-43,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,546.7570324399373,932.5314905848587,69.02426002873347,139.04552771578076,3248412,384.39319588563626,717.932995111461,329.5671177515686,290.7811962209719,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,1.8001,-1.7042,1.65,0.0,0.0
2024-08-08 17-09-58,0,17,1000,Cam4,50-0536976126,0.009921875,0.04,527.065737619527,937.4830676994775,73.48846356583213,145.4999999999996,3216901,384.39319588563626,717.932995111461,329.5671177515686,290.7811962209719,294.0,126.0,1.0501,0.1,0.3,0.5,0.5002,-0.1997,3.0001,4.0001,1.3998,-1.3971,1.2504,0.0,0.0
