timestamp,filter_index,gain,exposure,camera,serial,calibration,charge,xc,yc,xrms,yrms,sum,roi_x,roi_y,roi_w,roi_h,gunphase,linacphase,X1,Y1,X2,Y2,X3,Y3,X4,Y4,Q1,Q2,Q3,Q4,Q5
2024-08-09 18-37-06,0,23,1000,Cam4,50-0536976126,0.009921875,500.42,674.7897373935814,628.2416918560582,60.209460875583105,63.11588249959448,2627269,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-07,0,23,1000,Cam4,50-0536976126,0.009921875,505.2,671.0227983259703,644.1404049211554,58.05104318065379,63.01358340122991,2957585,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-09,0,23,1000,Cam4,50-0536976126,0.009921875,494.11,672.7367360526595,634.5651407778696,61.811950381418235,63.127369513657904,2731206,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-10,0,23,1000,Cam4,50-0536976126,0.009921875,506.8,677.4460644452449,624.2371745346702,60.848355744834166,62.87976907117511,2767114,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-11,0,23,1000,Cam4,50-0536976126,0.009921875,497.26,671.9801978084181,639.543357040457,61.25493567099136,62.37595463435674,3096485,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-12,0,23,1000,Cam4,50-0536976126,0.009921875,505.2,676.434220849605,627.5465290301913,60.81915121807032,62.08759959080286,3133971,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-13,0,23,1000,Cam4,50-0536976126,0.009921875,500.42,674.6276933706431,621.1266983136115,60.37287784843303,65.21883699443174,3060377,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-15,0,23,1000,Cam4,50-0536976126,0.009921875,500.42,654.9953601840948,646.5285561118859,59.555704738208746,66.57195023238194,2836007,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-16,0,23,1000,Cam4,50-0536976126,0.009921875,503.6,664.8716313425875,630.4491982935473,58.9772532466159,60.10862080473856,3036880,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
2024-08-09 18-37-17,0,23,1000,Cam4,50-0536976126,0.009921875,503.6,659.2302895883257,634.693429230846,56.77610981339477,61.09006807147451,2913241,464.0514469453377,402.1093247588425,351.897106109325,460.5530546623793,268.0,140.0,0.7001,-0.4998,0.7,0.9501,-0.2998,-0.0999,5.5,5.9,2.4,-2.0507,2.3,-0.0011,0.0026
