xc,yc,xrms,yrms,x1,y1,x2,y2
909.982301004454,1127.3759093587134,30518.982334957996,290.305099286381,0.0,0.0,0.0,0.0
896.5018834122701,1137.4282937958055,31474.439697207272,288.6600832772232,0.0,0.0,0.0,0.0
897.746945385298,1129.0540076930695,31534.28945158774,285.4184300233023,0.0,0.0,0.0,0.0
891.1015273581297,1140.2158992590291,27607.704514357814,291.1366847782324,0.0,0.0,0.0,0.0
895.803257408852,1080.282291859965,31933.239534818986,256.5937702202095,0.0,0.0,0.0,0.0
886.3448234191596,1122.9738485141695,31401.92305623845,279.84218581244875,0.0,0.0,0.0,0.0
896.7926711477909,1143.027474503919,27979.835338845856,286.92535135036707,0.0,0.0,0.0,0.0
897.6975302907643,1106.1631508189164,28954.16594064566,274.3568145850124,0.0,0.0,0.0,0.0
902.5439277599473,1091.683169612282,32540.066908939683,262.87338245519095,0.0,0.0,0.0,0.0
901.1389152094199,1087.4387607536278,33756.149530282484,266.25581665071275,0.0,0.0,0.0,0.0
888.100373268893,1100.9924246981263,29767.15741658012,268.5872113639529,0.0,0.0,0.0,0.0
889.0635657602129,1162.42328960237,27769.087739320385,298.2186737071517,0.0,0.0,0.0,0.0
905.788591003471,1163.6239865100756,29775.77957883352,307.7133989652319,0.0,0.0,0.0,0.0
890.5567219403325,1159.0633601801264,36162.69465644417,303.6461150961849,0.0,0.0,0.0,0.0
929.0608094365901,1120.0613188100158,33361.9656513398,279.20000993911117,0.0,0.0,0.0,0.0
618.0035580559891,1095.7599571260785,0.704331259473985,266.86687758573936,0.0,0.0,0.0,0.0
882.370912278854,1154.107416783459,28119.15561340995,299.178003697195,0.0,0.0,0.0,0.0
886.2784427256626,1087.3508981176687,28772.885272898387,261.3381810523851,0.0,0.0,0.0,0.0
902.8738644887025,1109.3096938333317,31671.96803412033,279.72900127459536,0.0,0.0,0.0,0.0
900.637577866989,1080.3596031311995,28715.33101804731,259.88597810261996,0.0,0.0,0.0,0.0
900.547960211828,1140.6417011961562,28268.264150654428,292.1325215108228,0.0,0.0,0.0,0.0
885.02169659891,1139.8109300026408,30089.838192475363,289.99061738217586,0.0,0.0,0.0,0.0
892.1537837566538,1129.3211179966434,28975.556356100737,294.08776402547,0.0,0.0,0.0,0.0
904.983043573245,1124.2360099476696,29454.187461610134,285.46284143313,0.0,0.0,0.0,0.0
887.9724918630982,1124.4325972490424,28992.751408891152,285.98566557866775,0.0,0.0,0.0,0.0
897.6988839377605,1145.2015611917868,28714.538831277045,292.67278165854265,0.0,0.0,0.0,0.0
902.5893712659268,1127.2048212809068,30965.55137406775,282.24518907909135,0.0,0.0,0.0,0.0
898.7935719335603,1150.4575863994899,28367.1020405393,297.9270654543893,0.0,0.0,0.0,0.0
914.5568541323846,1162.4414282105824,29830.878195607158,295.1623815995676,0.0,0.0,0.0,0.0
900.4806850966228,1160.655384992816,28094.330858123143,300.2469081488244,0.0,0.0,0.0,0.0
888.7624539932417,1158.7936904448761,30768.240590522026,299.5464677002677,0.0,0.0,0.0,0.0
888.6363354154585,1161.04356538413,29049.756758490938,297.29625146250436,0.0,0.0,0.0,0.0
895.3858821442519,1119.3944701939367,28394.693492663468,288.1031189740841,0.0,0.0,0.0,0.0
877.5862693514381,1132.842058491075,27622.320597524584,277.6867595067614,0.0,0.0,0.0,0.0
900.9661761923674,1141.3170770190823,27158.339256703206,288.7210847011236,0.0,0.0,0.0,0.0
888.4219084975371,1093.2142136489992,30074.406994128232,266.24133127314013,0.0,0.0,0.0,0.0
895.1482619811273,1115.7566358968415,28960.14558377547,273.58386570679727,0.0,0.0,0.0,0.0
895.043622234987,1111.5473149270583,29261.313834820565,275.86822469604147,0.0,0.0,0.0,0.0
896.0513722848755,1083.8513598510842,29228.160163192315,258.9137390468371,0.0,0.0,0.0,0.0
904.9821574849055,1128.5386373471092,32055.418637587678,287.8201354223808,0.0,0.0,0.0,0.0
